"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Houston Texans","","48.9","14.8","11.6","18.4","2.8","1.0","322.1","5,064.3","120.6"
"Denver Broncos","","59.7","13.3","8.3","12.3","2.4","0.5","318.9","4,843.5","118.3"
"Pittsburgh Steelers","","46.0","13.3","12.8","18.8","2.4","0.0","347.4","5,454.8","112.8"
"Minnesota Vikings","","49.2","12.6","12.0","18.0","2.4","0.0","361.4","5,298.2","112.7"
"Seattle Seahawks","","46.3","13.6","8.4","13.5","3.2","0.5","314.0","5,123.8","110.6"
"Detroit Lions","","48.0","13.6","9.4","14.0","2.2","0.5","374.6","5,463.3","107.7"
"Buffalo Bills","","42.7","14.9","9.5","13.1","2.5","0.5","393.3","5,737.6","107.3"
"Los Angeles Rams","","46.3","13.4","9.5","14.5","2.3","0.5","347.2","5,241.3","107.0"
"Los Angeles Chargers","","48.6","14.3","8.3","12.6","2.0","0.0","366.9","5,471.5","105.7"
"Atlanta Falcons","","48.2","12.3","8.4","13.3","2.3","0.5","412.8","5,545.9","104.3"
"Chicago Bears","","39.9","14.0","11.0","16.7","2.1","0.0","385.5","5,915.6","102.3"
"Philadelphia Eagles","","42.2","13.0","10.0","14.4","2.4","0.0","323.2","5,264.1","102.3"
"Baltimore Ravens","","45.9","12.8","9.2","13.9","2.0","0.0","360.6","5,296.3","101.7"
"New Orleans Saints","","44.9","12.3","8.9","13.2","2.3","0.0","399.4","5,485.9","101.1"
"Cleveland Browns","","46.2","12.1","8.6","12.7","2.2","0.0","386.7","5,192.2","101.0"
"Cincinnati Bengals","","41.1","13.1","9.8","13.4","2.1","0.0","413.1","5,827.3","99.4"
"Jacksonville Jaguars","","37.0","13.9","9.2","13.6","2.6","0.0","387.8","5,498.1","99.0"
"New England Patriots","","40.6","11.6","8.9","12.5","2.6","0.5","356.6","5,269.9","98.3"
"Tampa Bay Buccaneers","","41.0","11.7","10.0","13.5","2.0","0.5","392.2","5,610.8","97.2"
"Tennessee Titans","","44.8","10.0","8.6","13.1","2.1","0.5","463.6","5,958.5","95.5"
"Green Bay Packers","","40.4","11.9","9.7","13.5","1.9","0.0","366.9","5,514.5","95.3"
"Washington Commanders","","43.7","9.7","9.0","13.6","2.0","0.5","439.6","6,141.0","94.3"
"Indianapolis Colts","","39.3","13.0","8.7","12.1","1.9","0.0","394.1","5,520.9","94.2"
"Kansas City Chiefs","","42.0","11.7","8.0","12.3","1.9","0.0","349.6","5,400.6","92.5"
"New York Giants","","40.5","10.8","8.8","12.9","2.0","0.0","418.6","6,062.1","91.9"
"Arizona Cardinals","","35.8","11.7","9.4","14.4","1.9","0.5","466.2","6,154.4","90.5"
"Miami Dolphins","","42.2","10.2","9.0","13.7","1.6","0.0","450.8","6,090.4","90.4"
"Las Vegas Raiders","","40.8","10.2","8.4","14.0","1.8","0.5","437.2","5,738.8","89.9"
"Dallas Cowboys","","41.0","10.1","8.5","13.2","1.9","0.0","443.0","6,091.6","89.3"
"San Francisco 49ers","","35.8","11.4","9.3","15.4","1.9","0.0","395.3","5,648.2","88.7"
"Carolina Panthers","","38.2","11.6","7.0","10.5","1.8","0.0","399.9","5,778.4","86.2"
"New York Jets","","37.4","10.0","8.0","12.2","1.9","0.5","432.8","5,667.4","85.9"
""
""
